Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get All Events,10,554.4,582,659.7,659.7,819.9,438.3,819.9,0.000%,0.36263,3.54,0.24
Get Specific Event,10,311.4,341,361.8,361.8,380.7,257.4,380.7,0.000%,0.37102,0.75,0.26
Get available seats,10,351.9,347,464.4,464.4,478.8,242.1,478.8,0.000%,0.36955,7.85,0.27
Get my bookings,10,308.7,342,324.0,324.0,369.9,261.0,369.9,0.000%,0.37121,2.86,0.25
TOTAL,40,381.6,360,523.8,603.9,819.9,242.1,819.9,0.000%,1.34323,13.68,0.92
